model,language,dataset,wer,cer
omniASR_LLM_Unlimited_7B_v2,fuq_Latn,Omni_Corpus,0.7547074562067747,0.3085081402629931
omniASR_LLM_Unlimited_7B_v2,fuv_Latn,Fleurs,0.48072995586006984,0.1489440671046283
omniASR_LLM_Unlimited_7B_v2,ewe_Latn,Waxal,0.4139575859551097,0.12968617356299805
omniASR_LLM_Unlimited_7B_v2,dag_Latn,Waxal,0.6573922748834058,0.23956418357349654
omniASR_LLM_Unlimited_7B_v2,dag_Latn,Common_Voice_25_0,0.27779702112919985,0.07669964600163384
omniASR_LLM_Unlimited_7B_v2,mos_Latn,Moore_Speech_Corpora,0.29511728099569173,0.10563895473034267
omniASR_LLM_Unlimited_7B_v2,fuv_Latn,Omni_Corpus,0.5385342383366268,0.22641411340634965
omniASR_LLM_Unlimited_7B_v2,snk_Latn,Omni_Corpus,0.5462865188313974,0.15724662206138867
omniASR_LLM_Unlimited_3B_v2,fuv_Latn,Fleurs,0.5236,0.1848
omniASR_LLM_Unlimited_3B_v2,fuq_Latn,Omni_Corpus,0.7998,0.3821
omniASR_LLM_Unlimited_3B_v2,ewe_Latn,Waxal,0.5003,0.1689
omniASR_LLM_Unlimited_3B_v2,dag_Latn,Waxal,0.814,0.3632
omniASR_LLM_Unlimited_3B_v2,dag_Latn,Common_Voice_25_0,0.3367,0.096
omniASR_LLM_Unlimited_3B_v2,mos_Latn,Moore_Speech_Corpora,0.3766,0.1481
omniASR_LLM_Unlimited_3B_v2,fuv_Latn,Omni_Corpus,0.5592,0.2393
omniASR_LLM_Unlimited_3B_v2,snk_Latn,Omni_Corpus,0.5926,0.1795
MMS,ewe_Latn,Waxal,0.50352392139433,0.1536818468110743
MMS,mos_Latn,Moore_Speech_Corpora,0.43752991862134993,0.14619729025839112
Simba-S,ewe_Latn,Waxal,1.1310676529413632,0.5111763014486403
Simba-S,mos_Latn,Moore_Speech_Corpora,1.1457635232168502,0.7504462587422819
